"zip","lat","lng","city","state_id","state_name","zcta","parent_zcta","population","density","county_fips","county_name","county_weights","county_names_all","county_fips_all","imprecise","military","timezone"
"04352","44.46478","-69.96225","Mount Vernon","ME","Maine","TRUE","","1613","16.4","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04353","44.2052","-69.6126","Whitefield","ME","Maine","TRUE","","2251","18.6","23015","Lincoln","{""23015"": 100}","Lincoln","23015","FALSE","FALSE","America/New_York"
"04354","44.39602","-69.42709","Palermo","ME","Maine","TRUE","","1408","13.4","23027","Waldo","{""23027"": 100}","Waldo","23027","FALSE","FALSE","America/New_York"
"04355","44.38227","-69.94915","Readfield","ME","Maine","TRUE","","2587","34.3","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04357","44.12366","-69.82883","Richmond","ME","Maine","TRUE","","3503","44.4","23023","Sagadahoc","{""23023"": 100}","Sagadahoc","23023","FALSE","FALSE","America/New_York"
"04358","44.41821","-69.53286","South China","ME","Maine","TRUE","","4351","33.7","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04359","44.17947","-69.76134","South Gardiner","ME","Maine","TRUE","","282","147.7","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04360","44.54741","-70.00299","Vienna","ME","Maine","TRUE","","602","9.6","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04363","44.31101","-69.57807","Windsor","ME","Maine","TRUE","","2627","29.3","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04364","44.31158","-69.96153","Winthrop","ME","Maine","TRUE","","6103","75.7","23011","Kennebec","{""23011"": 100}","Kennebec","23011","FALSE","FALSE","America/New_York"
"04401","44.84711","-68.84654","Bangor","ME","Maine","TRUE","","44184","170.5","23019","Penobscot","{""23019"": 100}","Penobscot","23019","FALSE","FALSE","America/New_York"
"04406","45.2186","-69.57816","Abbot","ME","Maine","TRUE","","722","2.3","23021","Piscataquis","{""23021"": 100}","Piscataquis","23021","FALSE","FALSE","America/New_York"
"04408","44.9877","-68.23246","Aurora","ME","Maine","TRUE","","181","0.2","23009","Hancock","{""23009"": 100}","Hancock","23009","FALSE","FALSE","America/New_York"
"04410","45.08821","-68.90696","Bradford","ME","Maine","TRUE","","1074","10.1","23019","Penobscot","{""23019"": 100}","Penobscot","23019","FALSE","FALSE","America/New_York"
"04411","44.88634","-68.56672","Bradley","ME","Maine","TRUE","","1657","12.9","23019","Penobscot","{""23019"": 100}","Penobscot","23019","FALSE","FALSE","America/New_York"
